Commander/s,Identity,Appearances,Wins,Avg Winrate,Avg Drawrate,Best Standing,Worst Standing
The First Sliver,WUBRG,15,17,0.183,0.066,1,111
Lord Windgrace,BRG,15,13,0.163,0.191,2,222
Anje Falkenrath,BR,15,6,0.089,0.115,15,110
"Xyris, the Writhing Storm",URG,15,10,0.136,0.125,3,146
Kaalia of the Vast,WBR,15,22,0.242,0.167,1,135
Thalia and The Gitrog Monster,WBG,15,5,0.073,0.224,26,158
"Jodah, the Unifier",WUBRG,15,11,0.14,0.156,9,134
Sefris of the Hidden Ways,WUB,14,17,0.191,0.211,4,102
"Aragorn, the Uniter",WURG,14,10,0.124,0.149,1,97
"Thrasios, Triton Hero / Yoshimaru, Ever Faithful",WUG,14,14,0.184,0.194,3,97
"Cazur, Ruthless Stalker / Ukkima, Stalking Shadow",UBG,14,7,0.104,0.127,6,149
"Krark, the Thumbless / Silas Renn, Seeker Adept",UBR,14,18,0.227,0.239,1,188
"Eruth, Tormented Prophet",UR,14,9,0.125,0.1,3,148
"Francisco, Fowl Marauder / Malcolm, Keen-Eyed Navigator",UB,14,5,0.071,0.18,13,165
"Vadrik, Astral Archmage",UR,14,12,0.177,0.169,9,130
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",R,13,8,0.105,0.169,12,101
"Emry, Lurker of the Loch",U,13,7,0.097,0.19,3,112
"Lonis, Cryptozoologist",UG,13,6,0.081,0.129,32,145
"Cecily, Haunted Mage / Sophina, Spearsage Deserter",WUBR,13,9,0.125,0.141,8,195
"Dargo, the Shipwrecker / Reyhan, Last of the Abzan",BRG,12,20,0.293,0.159,1,59
"Chatterfang, Squirrel General",BG,12,6,0.104,0.071,13,145
"Rona, Herald of Invasion // Rona, Tolarian Obliterator",UB,12,2,0.037,0.185,35,167
"Azami, Lady of Scrolls",U,12,6,0.089,0.111,3,144
"Rograkh, Son of Rohgahh / Tymna the Weaver",WBR,12,12,0.186,0.123,2,158
"Florian, Voldaren Scion",BR,11,20,0.291,0.109,4,106
"Roxanne, Starfall Savant",RG,11,12,0.2,0.196,5,44
"Aesi, Tyrant of Gyre Strait",UG,11,11,0.2,0.093,13,107
The Wise Mothman,UBG,11,2,0.041,0.209,27,146
"Rielle, the Everwise",UR,11,10,0.195,0.149,9,76
"Ghyrson Starn, Kelermorph",UR,11,12,0.195,0.143,2,132
"Galadriel, Light of Valinor",WUG,11,6,0.109,0.28,20,212
"Krenko, Mob Boss",R,11,3,0.059,0.023,13,119
"Kalamax, the Stormsire",URG,11,6,0.102,0.12,16,143
"Tana, the Bloodsower / Tevesh Szat, Doom of Fools",BRG,11,9,0.177,0.021,5,110
"Liesa, Shroud of Dusk",WB,10,7,0.114,0.18,1,82
"Yidris, Maelstrom Wielder",UBRG,10,11,0.19,0.111,2,130
"Ao, the Dawn Sky",W,10,7,0.104,0.208,4,123
"Voja, Jaws of the Conclave",WRG,10,4,0.082,0.174,14,127
Borborygmos and Fblthp,URG,10,12,0.209,0.08,1,140
"Breeches, Brazen Plunderer / Malcolm, Keen-Eyed Navigator",UR,10,7,0.138,0.136,9,121
"Toxrill, the Corrosive",UB,10,6,0.107,0.125,4,59
"Malcolm, Keen-Eyed Navigator / Tevesh Szat, Doom of Fools",UB,10,10,0.17,0.4,3,141
"Tazri, Beacon of Unity",WUBRG,10,10,0.178,0.192,2,165
"Orvar, the All-Form",U,10,3,0.059,0.25,21,106
Mizzix of the Izmagnus,UR,10,7,0.107,0.146,2,213
"Brago, King Eternal",WU,9,4,0.082,0.098,31,127
"Prossh, Skyraider of Kher",BRG,9,6,0.106,0.159,11,205
"Zada, Hedron Grinder",R,9,4,0.1,0.128,17,211
"Elesh Norn, Mother of Machines",W,9,6,0.144,0.275,19,133
"Aminatou, the Fateshifter",WUB,9,3,0.066,0.263,8,114
"Nekusar, the Mindrazer",UBR,9,4,0.081,0.0,26,115
Alaundo the Seer,UG,9,3,0.059,0.132,11,84
Emiel the Blessed,WG,9,9,0.187,0.098,13,114
"Dargo, the Shipwrecker / Tevesh Szat, Doom of Fools",BR,9,9,0.161,0.137,27,117
"Ikra Shidiqi, the Usurper / Tymna the Weaver",WBG,9,10,0.228,0.25,8,133
Zurgo and Ojutai,WUR,8,8,0.156,0.256,11,129
Urabrask // The Great Work,R,8,13,0.256,0.239,6,212
"Kodama of the East Tree / Kraum, Ludevic's Opus",URG,8,5,0.108,0.237,7,153
"Jorn, God of Winter // Kaldring, the Rimestaff",UBG,8,2,0.05,0.129,17,147
"Ashaya, Soul of the Wild",G,8,7,0.155,0.154,28,134
"Francisco, Fowl Marauder / Ishai, Ojutai Dragonspeaker",WUB,7,7,0.181,0.139,4,101
Tiamat,WUBRG,7,8,0.24,0.121,24,100
